"Type","Count","Min_PM25","Max_PM25","Mean_PM25","SE_PM25","LOWER_95CI_PM25","UPPER_95CI_PM25"
"SDS011",13180,0.082,999.9,9.326,0.188698337402189,8.956,9.696
"STA",1164,1.5,40.32,10.728,0.196271427631848,10.343,11.113
