inner,rmse_classic,rmse_robust1,rmse_robust2,mae_classic,mae_robust1,mae_robust2
1,11.5506180990772,3.5417659976797,3.54657134078618,9.10104796062462,2.83642759636131,2.85122549779811
2,11.5830097228296,3.54125952796456,3.55256354204302,9.1332006544788,2.83513215006537,2.86031584795613
3,11.5787980931652,3.55082176415433,3.54933048026838,9.12911421749682,2.84524396258822,2.84968981920885
4,11.5788640727568,3.55085419522259,3.5495022603488,9.12918213139963,2.84527677747649,2.84984103994764
