outer,inner,mae_classic,mae_robust1,mae_robust2,fval_classic,fval_robust1,fval_robust2,exitflag_classic,exitflag_robust1,exitflag_robust2,time_classic,time_robust1,time_robust2
1,1,4.80091375933369,1.43213842006655,1.43233719585778,2308.40929533309,7.18376036814444e-05,5.13542784997552e-05,5,5,5,76.6906909,1.831545,3.0525742
1,2,4.80025225527773,1.43276890850754,1.4320822977491,2308.40929470992,1.82413275795125e-09,4.93568682029953e-05,5,5,5,31.7928532,6.9642348,3.7032649
1,3,4.79696748004678,1.43262145413407,1.43232374372514,2308.40928670148,1.9263824983542e-09,0.000120823678608301,5,5,5,14.2171124,5.5529251,2.0687861
1,4,4.79919314542499,1.43228161839886,1.43220346849867,2308.40928265713,1.56983259118507e-05,5.61930403065522e-05,5,5,5,41.4826184,4.1239819,2.9386108
2,1,39.3131949755505,7.72694035553204,8.42816804117032,2338.96616268516,1906.05684539783,1384.18322168921,5,5,5,35.7789476,2.4762,1.6407355
2,2,39.3139951759993,6.39223161388306,8.38755077201476,2338.96616253297,1668.22927158864,1382.62934482071,5,5,5,37.7694441,3.0529755,3.0062626
2,3,39.3137303825516,2.06678591021984,8.24510287604322,2338.96616252856,4.74170502525065,1358.52494786577,5,5,5,12.3759509,4.959912,1.9254282
2,4,39.3137897202122,1.86489887128633,8.43012022899035,2338.96616251517,0.00528724542575236,1384.82511020211,5,5,5,12.0242347,7.6491438,4.186801
3,1,18.9240565141104,11.1875594926339,11.1741260959365,2545.49136890209,2415.93919650228,2170.85400825629,5,5,5,55.6662048,3.4638977,1.0891763
3,2,18.9253061644628,11.1741206504906,11.174033510134,2545.49136875396,2443.84660245093,2170.7898662557,5,5,5,52.0297508,1.7681883,0.8720895
3,3,18.9253058931122,11.103710516399,11.1740334411772,2545.49136875356,2483.41743534351,2170.78999561462,5,5,5,8.6829562,0.7859175,0.8789894
3,4,18.9253058924598,11.1669879880781,11.1740336023122,2545.49136875356,2443.69214844788,2170.7899809141,5,5,5,10.9223619,6.6263891,1.5386673
