inner,mae_classic,mae_robust1,mae_robust2
1,9.12813683621698,3.37246350390547,3.43614299110015
2,9.12455805841455,3.249550191887,3.43191991133112
3,9.12398951137124,2.84865020192612,3.41890682891105
4,9.12405313749253,2.83668777642762,3.43555220328527
