x,y,mean_avg,var_avg,std_avg,std_from_varavg
53.224,9.614,6.8677866663952,92.7280158824428,9.62953862317603,9.62953871597403
53.224,9.6203025210084,6.86829350333637,92.7279978553032,9.62953768713771,9.62953777994059
53.224,9.62660504201681,6.8688947793682,92.727975894436,9.62953654684478,9.62953663965385
53.224,9.63290756302521,6.86960534288494,92.7279491530602,9.6295351583289,9.62953525114583
53.224,9.63921008403361,6.87044180556591,92.7279165956939,9.62953346782351,9.62953356065048
53.224,9.64551260504202,6.87142263983988,92.7278769537557,9.6295314094585,9.62953150229832
53.224,9.65181512605042,6.87256825903758,92.7278286708704,9.62952890242017,9.62952899527648
53.224,9.65811764705883,6.87390107471221,92.7277698359288,9.62952584747535,9.62952594035287
53.224,9.66442016806723,6.87544552512767,92.727698101805,9.62952212275073,9.62952221565562
53.224,9.67072268907563,6.87722806848531,92.7276105875658,9.62951757865507,9.62951767159528
53.224,9.67702521008403,6.87927713418472,92.7275037620645,9.62951203183459,9.62951212482047
53.224,9.68332773109244,6.881623025257,92.7273733070316,9.62950525806377,9.62950535110873
53.224,9.68963025210084,6.88429776517873,92.7272139582219,9.62949698399652,9.62949707711788
53.224,9.69593277310925,6.88733488252773,92.7270193239008,9.62948687774047,9.62948697096065
53.224,9.70223529411765,6.89076912748924,92.7267816810101,9.62947453827195,9.62947463161984
53.224,9.70853781512605,6.89463611499955,92.7264917507928,9.62945948378396,9.62945957729679
53.224,9.71484033613445,6.89897189046632,92.7261384575152,9.62944113915569,9.62944123288133
53.224,9.72114285714286,6.90381241541248,92.725708676207,9.62941882285095,9.62941891685095
53.224,9.72744537815126,6.90919297212738,92.725186978045,9.62939173369297,9.62939182804631
53.224,9.73374789915967,6.91514748855187,92.7245553850468,9.62935893812079,9.62935903292877
53.224,9.74005042016807,6.92170778689628,92.7237931490453,9.62931935870428,9.62931945409671
53.224,9.74635294117647,6.92890276221853,92.7228765732763,9.62927176486887,9.62927186101194
53.224,9.75265546218487,6.9367574999233,92.7217788981482,9.62921476694933,9.62921486405554
53.224,9.75895798319328,6.94529234428364,92.7204702755419,9.62914681483618,9.62914691317678
53.224,9.76526050420168,6.9545219329161,92.7189178580433,9.62906620258504,9.62906630250531
53.224,9.77156302521009,6.96445421542003,92.717086030374,9.62897108040405,9.62897118234207
53.224,9.77786554621849,6.97508947697925,92.7149368096916,9.62885947540459,9.62885957991348
53.224,9.78416806722689,6.98641939067066,92.7124304388659,9.62872932236715,9.62872943014113
53.224,9.79047058823529,6.99842612405533,92.709526192168,9.62857850553332,9.62857861743716
53.224,9.7967731092437,7.01108152779415,92.7061834055768,9.62840491206008,9.62840502916121
53.224,9.8030756302521,7.02434643469514,92.7023627343235,9.62820649727635,9.62820662087824
53.224,9.80937815126051,7.03817009832681,92.6980276281426,9.62798136125237,9.62798149292689
53.224,9.81568067226891,7.05248979944545,92.6931460006272,9.62772783546328,9.62772797707887
53.224,9.82198319327731,7.06723064749718,92.6876920532938,9.62744457750942,9.62744473125106
53.224,9.82828571428571,7.0823056015617,92.6816481986737,9.62713067101098,9.62713083938687
53.224,9.83458823529412,7.09761573225714,92.675007010466,9.62678572694863,9.62678591277826
53.224,9.84089075630252,7.11305074104827,92.6677731143835,9.6264099819729,9.62641018835077
53.224,9.84719327731093,7.12848974897596,92.6599649212505,9.62600438857479,9.62600461880476
53.224,9.85349579831933,7.14380235960248,92.6516160966137,9.62557069162711,9.62557094912368
53.224,9.85979831932773,7.15884999515491,92.6427766585662,9.62511148566695,9.62511177382197
53.224,9.86610084033613,7.17348749640835,92.633513600054,9.62463024751994,9.62463056953637
53.224,9.87240336134454,7.1875649701969,92.62391094288,9.62413133942802,9.62413169812633
53.224,9.87870588235294,7.20092985926519,92.6140691498343,9.62361997883349,9.62362037644016
53.224,9.88500840336135,7.21342920293214,92.6041038465373,9.62310217227309,9.62310261020516
53.224,9.89131092436975,7.22491204819706,92.5941438371621,9.62258461252574,9.62258509118844
53.224,9.89761344537815,7.23523196608318,92.5843284339492,9.62207454001535,9.62207505863206
53.224,9.90391596638656,7.24424962038616,92.5748041605408,9.62157957155891,9.62158012805281
53.224,9.91021848739496,7.25183533358527,92.5657209274789,9.6211075015505,9.62110809249532
53.224,9.91652100840336,7.25787159008391,92.5572278157899,9.62066608263734,9.62066670328985
53.224,9.92282352941177,7.2622554168078,92.5494686351781,9.62026279454901,9.62026343896975
53.224,9.92912605042017,7.2649005804248,92.542577447405,9.61990461100765,9.61990527226775
53.224,9.93542857142857,7.26573954375558,92.5366742578104,9.61959777530387,9.61959844576739
53.224,9.94173109243698,7.26472512747834,92.5318610796223,9.61934759522216,9.61934826688494
53.224,9.94803361344538,7.26183182828301,92.5282185646955,9.61915826743275,9.61915893229213
53.224,9.95433613445378,7.2570567537548,92.5258033697163,9.61903274018652,9.6190333906124
53.224,9.96063865546219,7.25042014133895,92.5246463929557,9.61897262137733,9.61897325045432
53.224,9.96694117647059,7.24196544031494,92.5247519713151,9.61897813666594,9.61897873847921
53.224,9.97324369747899,7.23175894519624,92.5260980777038,9.61904813975888,9.61904870960241
53.224,9.9795462184874,7.2198889822604,92.5286375037807,9.61918017405765,9.61918070855209
53.224,9.9858487394958,7.20646466093062,92.5322999610676,9.61937058217255,9.61937107928931
53.224,9.9921512605042,7.19161421476191,92.5369949835792,9.61961465718931,9.6196151161873
53.224,9.99845378151261,7.17548296607397,92.5426154750708,9.61990682748758,9.61990724877692
53.224,10.004756302521,7.15823096082099,92.5490417121273,9.62024086525125,9.62024125020404
