scenario,m,a,run,model,delta_base,delta_eff,MAE,RMSE
"m=2,a=0.1",2,0.1,13,classic,NaN,NaN,0.615107883659228,0.755015596013578
"m=2,a=0.1",2,0.1,13,robust_d_small,0.05,0.1,0.61653227699723,0.80267660109333
"m=2,a=0.1",2,0.1,13,robust_d_medium,0.35,0.7,0.616275908059498,0.801825798680486
"m=2,a=0.1",2,0.1,13,robust_d_big,1.5,3,0.622067523045046,0.808873863955529
"m=2,a=0.1",2,0.1,13,robust_d_auto,NaN,1.35033401416009,0.622060871286627,0.808873026576168
"m=2,a=0.1",2,0.1,14,classic,NaN,NaN,0.517101481618218,0.651847624294766
"m=2,a=0.1",2,0.1,14,robust_d_small,0.05,0.1,0.649999236554134,0.822541136887498
"m=2,a=0.1",2,0.1,14,robust_d_medium,0.35,0.7,0.654747688161308,0.828419586322749
"m=2,a=0.1",2,0.1,14,robust_d_big,1.5,3,0.649699918449683,0.820978780303852
"m=2,a=0.1",2,0.1,14,robust_d_auto,NaN,2.15512825361188,0.65367954000304,0.825951005161859
"m=2,a=0.1",2,0.1,15,classic,NaN,NaN,0.672822726966251,0.875524653619997
"m=2,a=0.1",2,0.1,15,robust_d_small,0.05,0.1,0.681003548518169,0.937076736492395
"m=2,a=0.1",2,0.1,15,robust_d_medium,0.35,0.7,0.681841845498744,0.941730625548411
"m=2,a=0.1",2,0.1,15,robust_d_big,1.5,3,0.686366153428938,0.948676403488358
"m=2,a=0.1",2,0.1,15,robust_d_auto,NaN,4.76417312471719,0.91240867480411,1.1201637120046
"m=2,a=0.1",2,0.1,16,classic,NaN,NaN,0.686175509159284,0.912098585910596
"m=2,a=0.1",2,0.1,16,robust_d_small,0.05,0.1,0.763029928815768,1.01830676024552
"m=2,a=0.1",2,0.1,16,robust_d_medium,0.35,0.7,0.762451533306024,1.02663530225873
"m=2,a=0.1",2,0.1,16,robust_d_big,1.5,3,0.757510664974809,1.02043974768568
"m=2,a=0.1",2,0.1,16,robust_d_auto,NaN,1.65060866067575,0.75515800146662,1.0188804807851
"m=2,a=0.1",2,0.1,18,classic,NaN,NaN,0.581667457133056,0.725330761070017
"m=2,a=0.1",2,0.1,18,robust_d_small,0.05,0.1,0.637853841233726,0.795357514495225
"m=2,a=0.1",2,0.1,18,robust_d_medium,0.35,0.7,0.632826912569403,0.787726292448256
"m=2,a=0.1",2,0.1,18,robust_d_big,1.5,3,0.630924858700288,0.780754795607443
"m=2,a=0.1",2,0.1,18,robust_d_auto,NaN,0.80790825075512,0.597106709256059,0.752362815335154
"m=2,a=0.1",2,0.1,19,classic,NaN,NaN,0.519236573820823,0.674706940771598
"m=2,a=0.1",2,0.1,19,robust_d_small,0.05,0.1,1.17262351224282,1.58386825641396
"m=2,a=0.1",2,0.1,19,robust_d_medium,0.35,0.7,1.16578072859711,1.56417739650049
"m=2,a=0.1",2,0.1,19,robust_d_big,1.5,3,1.14301257827273,1.46638998583812
"m=2,a=0.1",2,0.1,19,robust_d_auto,NaN,5.44101411651548,1.14542892181469,1.4531246801473
"m=2,a=0.1",2,0.1,20,classic,NaN,NaN,0.507241563880304,0.641407490512114
"m=2,a=0.1",2,0.1,20,robust_d_small,0.05,0.1,0.658394974265866,0.816374759603012
"m=2,a=0.1",2,0.1,20,robust_d_medium,0.35,0.7,0.663770001806513,0.823065906217177
"m=2,a=0.1",2,0.1,20,robust_d_big,1.5,3,0.643634382321054,0.802815586610136
"m=2,a=0.1",2,0.1,20,robust_d_auto,NaN,2.33535124821351,0.603662699410332,0.740027022198364
"m=2,a=0.1",2,0.1,21,classic,NaN,NaN,0.605112050488697,0.772214879720921
"m=2,a=0.1",2,0.1,21,robust_d_small,0.05,0.1,0.60396261891292,0.796187740900975
"m=2,a=0.1",2,0.1,21,robust_d_medium,0.35,0.7,0.601809066507355,0.793835665978954
"m=2,a=0.1",2,0.1,21,robust_d_big,1.5,3,1.10389128886493,1.32655763572122
"m=2,a=0.1",2,0.1,21,robust_d_auto,NaN,5.78806059834712,1.09852603191743,1.31649843458396
"m=2,a=0.1",2,0.1,22,classic,NaN,NaN,0.483586882130186,0.617037856322505
"m=2,a=0.1",2,0.1,22,robust_d_small,0.05,0.1,0.538032748841999,0.687324970943647
"m=2,a=0.1",2,0.1,22,robust_d_medium,0.35,0.7,0.552922761125606,0.689041540231529
"m=2,a=0.1",2,0.1,22,robust_d_big,1.5,3,0.537471109470156,0.68903464825363
"m=2,a=0.1",2,0.1,22,robust_d_auto,NaN,0.806465285968658,0.556291835650161,0.693291517222553
"m=2,a=0.1",2,0.1,23,classic,NaN,NaN,0.49181898141477,0.653296461486717
"m=2,a=0.1",2,0.1,23,robust_d_small,0.05,0.1,0.554406133804665,0.756994509861405
"m=2,a=0.1",2,0.1,23,robust_d_medium,0.35,0.7,0.556534736525178,0.756183464307657
"m=2,a=0.1",2,0.1,23,robust_d_big,1.5,3,0.55934216385839,0.759477191166392
"m=2,a=0.1",2,0.1,23,robust_d_auto,NaN,2.37422932059038,0.827838528479524,0.985563408576552
"m=2,a=0.1",2,0.1,24,classic,NaN,NaN,0.668330083815798,0.819749877998177
"m=2,a=0.1",2,0.1,24,robust_d_small,0.05,0.1,0.659458252019595,0.820736146334452
"m=2,a=0.1",2,0.1,24,robust_d_medium,0.35,0.7,0.675748797719389,0.833504225727509
"m=2,a=0.1",2,0.1,24,robust_d_big,1.5,3,0.67686214462816,0.834178171783767
"m=2,a=0.1",2,0.1,24,robust_d_auto,NaN,1.85629973227494,0.677181524649968,0.83461354758797
"m=2,a=0.1",2,0.1,25,classic,NaN,NaN,0.621612293289231,0.840097890099042
"m=2,a=0.1",2,0.1,25,robust_d_small,0.05,0.1,0.990479379303564,1.24029746960157
"m=2,a=0.1",2,0.1,25,robust_d_medium,0.35,0.7,0.927038530094952,1.1451815799983
"m=2,a=0.1",2,0.1,25,robust_d_big,1.5,3,0.974681649755,1.19605288695237
"m=2,a=0.1",2,0.1,25,robust_d_auto,NaN,2.75091942359844,1.01273550173194,1.27260096818488
"m=2,a=0.1",2,0.1,26,classic,NaN,NaN,0.581137588543667,0.716353418463964
"m=2,a=0.1",2,0.1,26,robust_d_small,0.05,0.1,0.627331754625894,0.751005357579354
"m=2,a=0.1",2,0.1,26,robust_d_medium,0.35,0.7,0.628559463841185,0.748494728378569
"m=2,a=0.1",2,0.1,26,robust_d_big,1.5,3,0.61482306907066,0.737487906088688
"m=2,a=0.1",2,0.1,26,robust_d_auto,NaN,1.72649130301706,0.648227479232516,0.774424908747689
"m=2,a=0.1",2,0.1,27,classic,NaN,NaN,0.577702542174839,0.803254976396724
"m=2,a=0.1",2,0.1,27,robust_d_small,0.05,0.1,0.596542491022683,0.875502707778936
"m=2,a=0.1",2,0.1,27,robust_d_medium,0.35,0.7,0.594750474381815,0.872058362045679
"m=2,a=0.1",2,0.1,27,robust_d_big,1.5,3,0.851691317175951,1.02651328608434
"m=2,a=0.1",2,0.1,27,robust_d_auto,NaN,5.00680018810742,0.980746703204051,1.15676088684025
"m=2,a=0.1",2,0.1,28,classic,NaN,NaN,0.5707750679733,0.692570700293103
"m=2,a=0.1",2,0.1,28,robust_d_small,0.05,0.1,0.615777609067616,0.74179984589951
"m=2,a=0.1",2,0.1,28,robust_d_medium,0.35,0.7,0.62906997911929,0.757523069074555
"m=2,a=0.1",2,0.1,28,robust_d_big,1.5,3,0.620709097567931,0.747697415709071
"m=2,a=0.1",2,0.1,28,robust_d_auto,NaN,2.0623097075061,0.620709094721436,0.747697416577624
"m=2,a=0.1",2,0.1,29,classic,NaN,NaN,0.549864832818122,0.700008829274489
"m=2,a=0.1",2,0.1,29,robust_d_small,0.05,0.1,1.12482938544011,1.41267732285367
"m=2,a=0.1",2,0.1,29,robust_d_medium,0.35,0.7,0.553763093089729,0.68307719845282
"m=2,a=0.1",2,0.1,29,robust_d_big,1.5,3,0.550300218792255,0.682299407837741
"m=2,a=0.1",2,0.1,29,robust_d_auto,NaN,4.83167529308746,1.16328807135115,1.44322354893399
"m=2,a=0.1",2,0.1,30,classic,NaN,NaN,0.523853569612485,0.668546796447634
"m=2,a=0.1",2,0.1,30,robust_d_small,0.05,0.1,0.578256366333049,0.722397248366739
"m=2,a=0.1",2,0.1,30,robust_d_medium,0.35,0.7,0.854538274706776,1.0664151975522
"m=2,a=0.1",2,0.1,30,robust_d_big,1.5,3,0.568628656237875,0.707253117146146
"m=2,a=0.1",2,0.1,30,robust_d_auto,NaN,2.9398164243262,0.871786087635604,1.1100434925279
"m=2,a=0.1",2,0.1,31,classic,NaN,NaN,0.675300505061149,0.912018031682332
"m=2,a=0.1",2,0.1,31,robust_d_small,0.05,0.1,0.769290834907622,1.06817762552633
"m=2,a=0.1",2,0.1,31,robust_d_medium,0.35,0.7,0.767521227823399,1.06236029748607
"m=2,a=0.1",2,0.1,31,robust_d_big,1.5,3,0.766252674201437,1.05921587531076
"m=2,a=0.1",2,0.1,31,robust_d_auto,NaN,1.01661622555873,0.767055642343837,1.06171451637633
"m=2,a=0.1",2,0.1,32,classic,NaN,NaN,0.541595184912211,0.644889795022349
"m=2,a=0.1",2,0.1,32,robust_d_small,0.05,0.1,0.566242400444034,0.681804156733592
"m=2,a=0.1",2,0.1,32,robust_d_medium,0.35,0.7,0.540217274587239,0.661878740488199
"m=2,a=0.1",2,0.1,32,robust_d_big,1.5,3,0.538287991339978,0.666135565280064
"m=2,a=0.1",2,0.1,32,robust_d_auto,NaN,1.82407126161783,0.539114849188265,0.665242899421784
"m=2,a=0.1",2,0.1,33,classic,NaN,NaN,0.617405005300489,0.783051789512898
"m=2,a=0.1",2,0.1,33,robust_d_small,0.05,0.1,0.573964483777224,0.724112479982114
"m=2,a=0.1",2,0.1,33,robust_d_medium,0.35,0.7,0.570478332036725,0.715594453012989
"m=2,a=0.1",2,0.1,33,robust_d_big,1.5,3,0.571970845390239,0.717193550986588
"m=2,a=0.1",2,0.1,33,robust_d_auto,NaN,2.05686052937097,0.5719708367054,0.717193515213771
"m=2,a=0.1",2,0.1,34,classic,NaN,NaN,0.605390911969265,0.707266849278966
"m=2,a=0.1",2,0.1,34,robust_d_small,0.05,0.1,0.721307739388856,0.875167729855673
"m=2,a=0.1",2,0.1,34,robust_d_medium,0.35,0.7,0.728253578348625,0.885714123188406
"m=2,a=0.1",2,0.1,34,robust_d_big,1.5,3,0.748664029712631,0.909321337542717
"m=2,a=0.1",2,0.1,34,robust_d_auto,NaN,2.95524831291451,0.749166785682912,0.91320082730514
"m=2,a=0.1",2,0.1,35,classic,NaN,NaN,0.588473910007924,0.73785140925362
"m=2,a=0.1",2,0.1,35,robust_d_small,0.05,0.1,0.592894729467544,0.749211146109153
"m=2,a=0.1",2,0.1,35,robust_d_medium,0.35,0.7,0.59435974309962,0.751501406152345
"m=2,a=0.1",2,0.1,35,robust_d_big,1.5,3,0.594359745437582,0.751501405963016
"m=2,a=0.1",2,0.1,35,robust_d_auto,NaN,0.480498260578587,0.594348132801559,0.751489516579163
"m=2,a=0.1",2,0.1,36,classic,NaN,NaN,0.587270471743966,0.705794126846284
"m=2,a=0.1",2,0.1,36,robust_d_small,0.05,0.1,0.61710945882986,0.736766985375091
"m=2,a=0.1",2,0.1,36,robust_d_medium,0.35,0.7,0.615757366560594,0.741989123906808
"m=2,a=0.1",2,0.1,36,robust_d_big,1.5,3,0.609973528349286,0.731208102373429
"m=2,a=0.1",2,0.1,36,robust_d_auto,NaN,1.86464617927067,0.610809233596547,0.731978646908012
"m=2,a=0.1",2,0.1,37,classic,NaN,NaN,0.813016864487312,1.01807708963948
"m=2,a=0.1",2,0.1,37,robust_d_small,0.05,0.1,0.680737066908293,0.908299330426238
"m=2,a=0.1",2,0.1,37,robust_d_medium,0.35,0.7,0.683604619255168,0.891486978746844
"m=2,a=0.1",2,0.1,37,robust_d_big,1.5,3,0.686609638415783,0.890633687106099
"m=2,a=0.1",2,0.1,37,robust_d_auto,NaN,1.96051827337851,0.685219387021173,0.887334680019199
"m=2,a=0.1",2,0.1,38,classic,NaN,NaN,0.555170074711238,0.711413930943911
"m=2,a=0.1",2,0.1,38,robust_d_small,0.05,0.1,0.861430308453107,1.07658660040461
"m=2,a=0.1",2,0.1,38,robust_d_medium,0.35,0.7,0.861535863849151,1.07474375975416
"m=2,a=0.1",2,0.1,38,robust_d_big,1.5,3,0.560722966252808,0.739863159968533
"m=2,a=0.1",2,0.1,38,robust_d_auto,NaN,1.98090714754964,0.589630980198112,0.701539438197271
"m=2,a=0.1",2,0.1,39,classic,NaN,NaN,0.533122951796412,0.704351567899378
"m=2,a=0.1",2,0.1,39,robust_d_small,0.05,0.1,0.581658990837343,0.744152755454811
"m=2,a=0.1",2,0.1,39,robust_d_medium,0.35,0.7,0.568788605968413,0.74702260938362
"m=2,a=0.1",2,0.1,39,robust_d_big,1.5,3,0.568307681282975,0.746487460954162
"m=2,a=0.1",2,0.1,39,robust_d_auto,NaN,3.05623946248541,0.858916853134022,1.08855377097237
"m=2,a=0.1",2,0.1,40,classic,NaN,NaN,0.525000684537097,0.714527591280855
"m=2,a=0.1",2,0.1,40,robust_d_small,0.05,0.1,0.641942536569244,0.868492358575401
